CutTableBySelection,Measure Names,Measure Values
CAS 2017-C07 G1,Only PR/VI (%),0
CAS 2017-C06 G2,Only PR/VI (%),0.001467855
CAS 2017-C06 G1,Only PR/VI (%),0.001476057
CAS 2017-C05 G1,Only PR/VI (%),0.001192543
CAS 2017-C04 G2,Only PR/VI (%),0.001094887
CAS 2017-C03 G1,Only PR/VI (%),0.001339964
CAS 2017-C02 G2,Only PR/VI (%),0.001359149
CAS 2017-C01 G1,Only PR/VI (%),0.001943959
CAS 2016-C07 G2,Only PR/VI (%),0.001745217
CAS 2016-C06 G1,Only PR/VI (%),0.002860877
CAS 2016-C05 G2,Only PR/VI (%),0.001637454
CAS 2016-C04 G1,Only PR/VI (%),0.002199764
CAS 2016-C03 G2,Only PR/VI (%),0.002977951
CAS 2016-C03 G1,Only PR/VI (%),0.002067584
CAS 2016-C02 G1,Only PR/VI (%),0.002685965
CAS 2016-C01 G2,Only PR/VI (%),0.003715469
CAS 2016-C01 G1,Only PR/VI (%),0.003516460
CAS 2015-C04 G2,Only PR/VI (%),0.003956941
CAS 2015-C04 G1,Only PR/VI (%),0.004167857
CAS 2015-C03 G2,Only PR/VI (%),0.004403347
CAS 2015-C03 G1,Only PR/VI (%),0.005490211
CAS 2015-C02 G2,Only PR/VI (%),0.010296284
CAS 2015-C02 G1,Only PR/VI (%),0.008828557
CAS 2015-C01 G2,Only PR/VI (%),0.009791670
CAS 2015-C01 G1,Only PR/VI (%),0.005402124
CAS 2014-C04 G2,Only PR/VI (%),0.005389734
CAS 2014-C04 G1,Only PR/VI (%),0.003536244
CAS 2014-C03 G2,Only PR/VI (%),0.002873745
CAS 2014-C03 G1,Only PR/VI (%),0.003153585
CAS 2014-C02 G2,Only PR/VI (%),0.003612803
CAS 2014-C02 G1,Only PR/VI (%),0.003068036
CAS 2014-C01,Only PR/VI (%),0.002980671
CAS 2013-C01,Only PR/VI (%),0.004161588
CAS 2020-R02 G2,Harvey/Irma Damage (%),0
CAS 2020-R01 G1,Harvey/Irma Damage (%),0
CAS 2019-R07 G1,Harvey/Irma Damage (%),0
CAS 2019-R06 G2,Harvey/Irma Damage (%),0
CAS 2019-R05 G1,Harvey/Irma Damage (%),0
CAS 2019-R04 G2,Harvey/Irma Damage (%),0
CAS 2019-R03 G1,Harvey/Irma Damage (%),0
CAS 2019-R02 G1,Harvey/Irma Damage (%),0
CAS 2019-R01 G2,Harvey/Irma Damage (%),0
CAS 2019-HRP1,Harvey/Irma Damage (%),0
CAS 2018-R07 G1,Harvey/Irma Damage (%),0
CAS 2018-C06 G2,Harvey/Irma Damage (%),0
CAS 2018-C06 G1,Harvey/Irma Damage (%),0
CAS 2018-C05 G1,Harvey/Irma Damage (%),0
CAS 2018-C04 G2,Harvey/Irma Damage (%),0
CAS 2018-C03 G1,Harvey/Irma Damage (%),0
CAS 2018-C02 G2,Harvey/Irma Damage (%),0.008779953
CAS 2018-C01 G1,Harvey/Irma Damage (%),0.021743646
CAS 2017-C07 G2,Harvey/Irma Damage (%),0
CAS 2017-C07 G1,Harvey/Irma Damage (%),0
CAS 2017-C06 G2,Harvey/Irma Damage (%),0.029516992
CAS 2017-C06 G1,Harvey/Irma Damage (%),0.026466069
CAS 2017-C05 G1,Harvey/Irma Damage (%),0.021919771
CAS 2017-C04 G2,Harvey/Irma Damage (%),0.022780042
CAS 2017-C03 G1,Harvey/Irma Damage (%),0.022076635
CAS 2017-C02 G2,Harvey/Irma Damage (%),0.022077555
CAS 2017-C01 G1,Harvey/Irma Damage (%),0.026398557
CAS 2016-C07 G2,Harvey/Irma Damage (%),0.029649679
CAS 2016-C06 G1,Harvey/Irma Damage (%),0.026382576
CAS 2016-C05 G2,Harvey/Irma Damage (%),0.024721285
CAS 2016-C04 G1,Harvey/Irma Damage (%),0.026793248
CAS 2016-C03 G2,Harvey/Irma Damage (%),0.024450691
CAS 2016-C03 G1,Harvey/Irma Damage (%),0.024710307
CAS 2016-C02 G1,Harvey/Irma Damage (%),0.023822147
CAS 2016-C01 G2,Harvey/Irma Damage (%),0.025911849
CAS 2016-C01 G1,Harvey/Irma Damage (%),0.026941780
CAS 2015-C04 G2,Harvey/Irma Damage (%),0.024812530
CAS 2015-C04 G1,Harvey/Irma Damage (%),0.028129404
CAS 2015-C03 G2,Harvey/Irma Damage (%),0.022391702
CAS 2015-C03 G1,Harvey/Irma Damage (%),0.027919004
CAS 2015-C02 G2,Harvey/Irma Damage (%),0.023300187
CAS 2015-C02 G1,Harvey/Irma Damage (%),0.028067317
CAS 2015-C01 G2,Harvey/Irma Damage (%),0.017082483
CAS 2015-C01 G1,Harvey/Irma Damage (%),0.023435917
CAS 2014-C04 G2,Harvey/Irma Damage (%),0.012599339
CAS 2014-C04 G1,Harvey/Irma Damage (%),0.020472150
CAS 2014-C03 G2,Harvey/Irma Damage (%),0.014234092
CAS 2014-C03 G1,Harvey/Irma Damage (%),0.016673051
CAS 2014-C02 G2,Harvey/Irma Damage (%),0.010920612
CAS 2014-C02 G1,Harvey/Irma Damage (%),0.012644738
CAS 2014-C01,Harvey/Irma Damage (%),0.011514164
CAS 2013-C01,Harvey/Irma Damage (%),0.013654088
CAS 2020-R02 G2,Florence FEMA UPB (%),0
CAS 2020-R01 G1,Florence FEMA UPB (%),0
CAS 2019-R07 G1,Florence FEMA UPB (%),4.398150982e-05
CAS 2019-R06 G2,Florence FEMA UPB (%),3.141371137e-05
CAS 2019-R05 G1,Florence FEMA UPB (%),9.895376302e-05
CAS 2019-R04 G2,Florence FEMA UPB (%),0.007058206
CAS 2019-R03 G1,Florence FEMA UPB (%),0.006759937
CAS 2019-R02 G1,Florence FEMA UPB (%),0.012206552
CAS 2019-R01 G2,Florence FEMA UPB (%),0.013557940
CAS 2019-HRP1,Florence FEMA UPB (%),0
